USER         LWP    PPID NLWP
mario       2375    2228   36
mario       2376    2228   36
mario       2377    2228   36
mario       2378    2228   36
mario       2379    2228   36
mario       2381    2228   36
mario       2382    2228   36
mario       2383    2228   36
mario       2384    2228   36
mario       2385    2228   36
mario       2386    2228   36
mario       2387    2228   36
mario       2388    2228   36
mario       2389    2228   36
mario       2390    2228   36
mario       2391    2228   36
mario       2404    2228   36
mario       2502    2228   36
mario       2504    2228   36
mario       2505    2228   36
mario       2507    2228   36
mario       2510    2228   36
mario       2517    2228   36
mario       2519    2228   36
mario      41127    2228   36
mario      41880    2228   36
mario      41881    2228   36
mario       2392    2228    6
mario       2394    2228    6
mario       2395    2228    6
mario       2396    2228    6
mario       2399    2228    6
mario      43750    2228    6
mario       2612    1616    4
mario       2617    1616    4
mario       2619    1616    4
mario       2620    1616    4
mario       3067    1427    9
mario       3073    1427    9
mario       3074    1427    9
mario       3075    1427    9
mario       3076    1427    9
mario       3077    1427    9
mario       3078    1427    9
mario       3079    1427    9
mario       3081    1427    9
mario       4540    1449    4
mario       4541    1449    4
mario       4542    1449    4
mario       4547    1449    4
mario       4554    1449    3
mario       4555    1449    3
mario       4556    1449    3
mario       7900    1642  129
mario       7992    1642  129
mario       7993    1642  129
mario       7994    1642  129
mario       7995    1642  129
mario       7996    1642  129
mario       7997    1642  129
mario       7999    1642  129
mario       8002    1642  129
mario       8004    1642  129
mario       8005    1642  129
mario       8006    1642  129
mario       8007    1642  129
mario       8008    1642  129
mario       8009    1642  129
mario       8013    1642  129
mario       8014    1642  129
mario       8015    1642  129
mario       8016    1642  129
mario       8056    1642  129
mario       8057    1642  129
mario       8058    1642  129
mario       8059    1642  129
mario       8060    1642  129
mario       8061    1642  129
mario       8062    1642  129
mario       8063    1642  129
mario       8064    1642  129
mario       8065    1642  129
mario       8066    1642  129
mario       8067    1642  129
mario       8068    1642  129
mario       8069    1642  129
mario       8070    1642  129
mario       8071    1642  129
mario       8073    1642  129
mario       8074    1642  129
mario       8075    1642  129
mario       8076    1642  129
mario       8077    1642  129
mario       8081    1642  129
mario       8087    1642  129
mario       8089    1642  129
mario       8091    1642  129
mario       8092    1642  129
mario       8093    1642  129
mario       8095    1642  129
mario       8097    1642  129
mario       8099    1642  129
mario       8101    1642  129
mario       8102    1642  129
mario       8103    1642  129
mario       8118    1642  129
mario       8119    1642  129
mario       8121    1642  129
mario       8125    1642  129
mario       8128    1642  129
mario       8213    1642  129
mario       8218    1642  129
mario       8226    1642  129
mario       8362    1642  129
mario       8367    1642  129
mario       8376    1642  129
mario       8379    1642  129
mario       8380    1642  129
mario       8453    1642  129
mario       8515    1642  129
mario       8554    1642  129
mario       8669    1642  129
mario       9206    1642  129
mario       9380    1642  129
mario       9692    1642  129
mario       9732    1642  129
mario       9794    1642  129
mario       9795    1642  129
mario      10521    1642  129
mario      10544    1642  129
mario      10568    1642  129
mario      11587    1642  129
mario      11823    1642  129
mario      14837    1642  129
mario      15486    1642  129
mario      15621    1642  129
mario      21101    1642  129
mario      21102    1642  129
mario      21103    1642  129
mario      21104    1642  129
mario      21429    1642  129
mario      21430    1642  129
mario      21431    1642  129
mario      21432    1642  129
mario      24754    1642  129
mario      24755    1642  129
mario      24756    1642  129
mario      24757    1642  129
mario      24881    1642  129
mario      25701    1642  129
mario      25977    1642  129
mario      26443    1642  129
mario      26850    1642  129
mario      26851    1642  129
mario      26852    1642  129
mario      26853    1642  129
mario      26903    1642  129
mario      27457    1642  129
mario      27458    1642  129
mario      27459    1642  129
mario      27460    1642  129
mario      27507    1642  129
mario      28888    1642  129
mario      28889    1642  129
mario      28890    1642  129
mario      28891    1642  129
mario      28923    1642  129
mario      34715    1642  129
mario      35797    1642  129
mario      38681    1642  129
mario      38682    1642  129
mario      38683    1642  129
mario      38684    1642  129
mario      40809    1642  129
mario      40852    1642  129
mario      40926    1642  129
mario      40973    1642  129
mario      41434    1642  129
mario      41448    1642  129
mario      41514    1642  129
mario      41684    1642  129
mario      41729    1642  129
mario       8078    7900    5
mario       8083    7900    5
mario       8085    7900    5
mario       8086    7900    5
mario       8088    7900    5
mario       8209    7900   19
mario       8217    7900   19
mario       8219    7900   19
mario       8220    7900   19
mario       8221    7900   19
mario       8223    7900   19
mario       8224    7900   19
mario       8228    7900   19
mario       8229    7900   19
mario       8230    7900   19
mario       8231    7900   19
mario       8232    7900   19
mario       8233    7900   19
mario       8234    7900   19
mario       8235    7900   19
mario       8236    7900   19
mario       8295    7900   19
mario       8296    7900   19
mario       8297    7900   19
mario       8514    7900   20
mario       8518    7900   20
